"accession","X20181107_18.053_16_1_track16.x","X20181107_18.053_17_1_track17.x","X20181107_18.053_18_1_track18.x","X20181107_18.053_7_1_track7.x","X20181107_18.053_8_1_track8.x","X20181107_18.053_9_1_track9.x","protein.x","pval_milieu.x","padj_milieu.x","Ratio_XIC$descr","Ratio_XIC$UF.YEL","X20181107_18.053_16_1_track16.y","X20181107_18.053_17_1_track17.y","X20181107_18.053_18_1_track18.y","X20181107_18.053_7_1_track7.y","X20181107_18.053_8_1_track8.y","X20181107_18.053_9_1_track9.y","protein.y","Goodness_of_fit","pval_milieu.y","padj_milieu.y","Ratio_PC$descr","Ratio_PC$UF.YEL"
"gi|659917401|emb|CDP49238.1|",7.99158901840628,8.13174384339194,8.18551288448179,7.37827334576808,7.89605928278827,6.55187639176643,"c554.a1.a1",0.104653394702707,0.246743776128334,"gi|659917401|emb|CDP49238.1| Secreted protein of unknown function [Propionibacterium freudenreichii subsp. freudenreichii]",0.274480474801365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gi|659917406|emb|CDP49243.1|",8.70126753560865,8.77734480561153,8.70806639616881,7.62028687400328,7.69637921027569,7.59876928759916,"c354.a1.a1",9.06463921138667e-06,0.00175249691420142,"gi|659917406|emb|CDP49243.1| Hypothetical protein PFCIRM129_10740 [Propionibacterium freudenreichii subsp. freudenreichii]",0.0813307858928071,7,9,9,7,8,8,"c354.a1.a1","OK",0.772798009785884,0.91028495461161,"gi|659917406|emb|CDP49243.1| Hypothetical protein PFCIRM129_10740 [Propionibacterium freudenreichii subsp. freudenreichii]",0.92
"gi|659917407|emb|CDP49244.1|",7.48063411377597,7.23724559617673,6.04187219687257,7.89506774903674,7.65592246207353,7.06190666190077,"c342.a1.a1",0.291615487136807,0.468045506850278,"gi|659917407|emb|CDP49244.1| Phosphoribosylformylglycinamidine synthase 1 (Phosphoribosylformylglycinamidine synthase I) (FGAM synthase I) [Propionibacterium freudenreichii subsp. freudenreichii]",2.78422519882841,1,3,2,8,6,4,"c342.a1.a1","OK",0.012217856022984,0.0700409766070074,"gi|659917407|emb|CDP49244.1| Phosphoribosylformylglycinamidine synthase 1 (Phosphoribosylformylglycinamidine synthase I) (FGAM synthase I) [Propionibacterium freudenreichii subsp. freudenreichii]",3
"gi|659917409|emb|CDP49246.1|",6.86188189005426,7.68156916947643,7.17692962151346,8.08247893435397,8.56777862541764,7.28237708776682,"c179.a1.a1",0.172330087607933,0.350286519671179,"gi|659917409|emb|CDP49246.1| Phosphoribosylaminoimidazole-succinocarboxamidesynthase [Propionibacterium freudenreichii subsp. freudenreichii]",7.24631596983052,7,12,12,19,19,17,"c179.a1.a1","OK",0.00918016088834983,0.0543798049154853,"gi|659917409|emb|CDP49246.1| Phosphoribosylaminoimidazole-succinocarboxamidesynthase [Propionibacterium freudenreichii subsp. freudenreichii]",1.7741935483871
"gi|659917414|emb|CDP49251.1|",8.48358689392245,8.63912411282213,8.77004934250348,8.09609313250876,8.27775364278922,8.11131079379957,"c266.a1.a1",0.00975895579977827,0.0487947789988913,"gi|659917414|emb|CDP49251.1| Hypothetical protein PFCIRM129_10780 [Propionibacterium freudenreichii subsp. freudenreichii]",0.333729824039905,9,13,13,14,13,12,"c266.a1.a1","OK",0.641857058461171,0.874435851409454,"gi|659917414|emb|CDP49251.1| Hypothetical protein PFCIRM129_10780 [Propionibacterium freudenreichii subsp. freudenreichii]",1.11428571428571
"gi|659917415|emb|CDP49252.1|",9.39573533722538,9.2041387486192,9.14582227499992,8.76792401324075,8.98340753351039,8.79191281029943,"c161.a1.a1",0.0169541415159003,0.0682875144390429,"gi|659917415|emb|CDP49252.1| Hypothetical protein PFCIRM129_10785 [Propionibacterium freudenreichii subsp. freudenreichii]",0.395132979141935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gi|659917425|emb|CDP49226.1|",6.23764194610764,6.5107344604793,6.31728433424681,6.69152164047114,6.39584224644224,6.7863011908466,"c477.a1.a1",0.132408357497869,0.293117737972381,"gi|659917425|emb|CDP49226.1| Glucose-6-phosphate isomerase (GPI) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI) [Propionibacterium freudenreichii subsp. freudenreichii]",1.91831440983056,2,4,2,4,5,5,"c477.a1.a1","OK",0.197971258409679,0.506763029985248,"gi|659917425|emb|CDP49226.1| Glucose-6-phosphate isomerase (GPI) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI) [Propionibacterium freudenreichii subsp. freudenreichii]",1.75
"gi|659917426|emb|CDP49227.1|",8.04231079999882,8.15098422328804,8.38467607230852,8.91555655665508,9.51525031439552,8.50966985409642,"c206.a1.a1",0.0634301225218739,0.177726913346313,"gi|659917426|emb|CDP49227.1| Hypothetical protein PFCIRM129_10650 [Propionibacterium freudenreichii subsp. freudenreichii]",8.94609411573324,6,10,11,17,16,13,"c206.a1.a1","OK",0.0253091369515497,0.127562968634927,"gi|659917426|emb|CDP49227.1| Hypothetical protein PFCIRM129_10650 [Propionibacterium freudenreichii subsp. freudenreichii]",1.7037037037037
"gi|659917428|emb|CDP49229.1|",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,5,3,5,"c462.a1.a1","OK",0.000477076338178107,0.00521183395858725,"gi|659917428|emb|CDP49229.1| DeaD/DeaH box helicase [Propionibacterium freudenreichii subsp. freudenreichii]",13
"gi|659917434|emb|CDP49203.1|",7.53021855412895,7.67422837566476,7.33670695088587,6.61228471369189,6.46916294799022,6.70354381730769,"c275.a1.a1",0.00152616735336515,0.0158750770526088,"gi|659917434|emb|CDP49203.1| Lactaldehyde dehydrogenase [Propionibacterium freudenreichii subsp. freudenreichii]",0.117592082937377,7,11,9,6,6,5,"c275.a1.a1","OK",0.129982914466671,0.399452573021517,"gi|659917434|emb|CDP49203.1| Lactaldehyde dehydrogenase [Propionibacterium freudenreichii subsp. freudenreichii]",0.62962962962963
"gi|659917439|emb|CDP49208.1|",8.29471953097358,8.19636559526964,7.93994552473954,7.58180729376582,7.69953555562906,7.91163483357595,"c337.a1.a1",0.0448947106190485,0.139245626518974,"gi|659917439|emb|CDP49208.1| multicopper oxidase [Propionibacterium freudenreichii subsp. freudenreichii]",0.384785249068092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gi|659917442|emb|CDP49211.1|",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,1,0,0,"c506.a1.a1","OK",0.0127918489810903,0.0719075782529252,"gi|659917442|emb|CDP49211.1| Metallophosphoesterase [Propionibacterium freudenreichii subsp. freudenreichii]",0.125
"gi|659917443|emb|CDP49212.1|",8.68747705775064,8.48647386219324,8.46578030692791,8.44167816522433,8.41348198116059,8.43133141209565,"b48.a1.a1",0.173431671560352,0.350286519671179,"gi|659917443|emb|CDP49212.1| Penicillin-binding protein (Transglycosylase/transpeptidase) [Propionibacterium freudenreichii subsp. freudenreichii]",0.741962111426018,21,29,28,31,29,29,"b48.a1.a1","OK",0.394484005939981,0.738830885566484,"gi|659917443|emb|CDP49212.1| Penicillin-binding protein (Transglycosylase/transpeptidase) [Propionibacterium freudenreichii subsp. freudenreichii]",1.14102564102564
"gi|659917450|emb|CDP49219.1|",8.50417088317799,8.44701641659826,8.26560018919347,7.57521016871595,7.35623297832078,7.05439196957053,"c113.a1.a1",0.002991094218066,0.0221181837499926,"gi|659917450|emb|CDP49219.1| PTS enzyme I [Propionibacterium freudenreichii subsp. freudenreichii]",0.091442467206123,11,22,21,6,5,5,"c113.a1.a1","OK",3.05072527939694e-06,0.000110398121048177,"gi|659917450|emb|CDP49219.1| PTS enzyme I [Propionibacterium freudenreichii subsp. freudenreichii]",0.296296296296296
"gi|659917455|emb|CDP49224.1|",7.58202193976212,7.84494230760378,7.96251027589769,7.14343955763095,7.18849928503833,4.80389311669714,"c591.a1.a1",0.149254065142144,0.31709654865364,"gi|659917455|emb|CDP49224.1| Hypothetical membrane protein [Propionibacterium freudenreichii subsp. freudenreichii]",0.147132833664236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gi|659917458|emb|CDP49125.1|",9.31640222734341,9.18835489852973,9.09500308091676,9.16011883162141,8.93237471811243,8.92821004053964,"a9.a1.a1",0.125628799721103,0.28352024839782,"gi|659917458|emb|CDP49125.1| 60 kDa chaperonin 2 (Protein Cpn60 2) (groEL protein 2) (Heat shock protein 60 2) [Propionibacterium freudenreichii subsp. freudenreichii]",0.648060297012872,51,61,56,70,55,59,"a9.a1.a1","OK",0.393687139564449,0.738830885566484,"gi|659917458|emb|CDP49125.1| 60 kDa chaperonin 2 (Protein Cpn60 2) (groEL protein 2) (Heat shock protein 60 2) [Propionibacterium freudenreichii subsp. freudenreichii]",1.0952380952381
"gi|659917467|emb|CDP49134.1|",8.05007051664169,7.87385305691198,7.76570427922817,7.44645716097784,7.2612060645906,7.55795651722919,"c357.a1.a1",0.0166565182969007,0.0680336662831155,"gi|659917467|emb|CDP49134.1| L-serine dehydratase (L-serine ammonia-lyase) [Propionibacterium freudenreichii subsp. freudenreichii]",0.335647338438148,6,8,8,8,8,8,"c357.a1.a1","OK",0.768047050872814,0.91028495461161,"gi|659917467|emb|CDP49134.1| L-serine dehydratase (L-serine ammonia-lyase) [Propionibacterium freudenreichii subsp. freudenreichii]",1.09090909090909
"gi|659917468|emb|CDP49135.1|",7.93339385994952,8.1705191476858,8.07761820089077,8.35247023825422,8.64824694961824,8.5107339790676,"c140.a1.a1",0.0156486161521724,0.0662496158267155,"gi|659917468|emb|CDP49135.1| ABC transporter ATP-binding protein [Propionibacterium freudenreichii subsp. freudenreichii]",2.8128660583649,7,16,13,20,17,18,"c140.a1.a1","OK",0.0455983519708114,0.200859980265887,"gi|659917468|emb|CDP49135.1| ABC transporter ATP-binding protein [Propionibacterium freudenreichii subsp. freudenreichii]",1.52777777777778
"gi|659917470|emb|CDP49137.1|",7.91755593126666,8.33353633368591,8.14882701910961,8.13311211331029,7.96435445304752,8.14684071141418,"b70.a1.a1",0.718155033921414,0.829593625157666,"gi|659917470|emb|CDP49137.1| Hypothetical protein PFCIRM129_10165 [Propionibacterium freudenreichii subsp. freudenreichii]",0.838520120156266,21,25,19,28,28,27,"b70.a1.a1","OK",0.138493504176229,0.418526544961591,"gi|659917470|emb|CDP49137.1| Hypothetical protein PFCIRM129_10165 [Propionibacterium freudenreichii subsp. freudenreichii]",1.27692307692308
"gi|659917472|emb|CDP49139.1|",8.29281139433019,8.30695640849168,8.74663986109798,7.8396474464202,8.38493546415381,6.37803772923156,"c232.a1.a1",0.212616585599419,0.390245631796402,"gi|659917472|emb|CDP49139.1| Hypothetical protein PFCIRM129_10175 [Propionibacterium freudenreichii subsp. freudenreichii]",0.328252840001434,8,11,14,14,13,7,"c232.a1.a1","OK",0.902763028780288,0.919826603804931,"gi|659917472|emb|CDP49139.1| Hypothetical protein PFCIRM129_10175 [Propionibacterium freudenreichii subsp. freudenreichii]",1.03030303030303
"gi|659917473|emb|CDP49140.1|",10.018727364327,9.72946468913416,9.75561233138315,8.97176691836013,8.91805031904696,8.93616156035273,"b18.a1.a1",0.000678251419463764,0.0119207825239086,"gi|659917473|emb|CDP49140.1| iron-sulfur protein [Propionibacterium freudenreichii subsp. freudenreichii]",0.122245869783557,50,58,57,52,48,52,"b18.a1.a1","OK",0.465234247014001,0.793035441750294,"gi|659917473|emb|CDP49140.1| iron-sulfur protein [Propionibacterium freudenreichii subsp. freudenreichii]",0.921212121212121
"gi|659917474|emb|CDP49141.1|",8.63276344961836,8.78725016556812,9.04462826731853,8.14180184674342,8.61662322505125,7.54197263480675,"b95.a1.a1",0.0964217213080426,0.235968769445843,"gi|659917474|emb|CDP49141.1| Oxidoreductase [Propionibacterium freudenreichii subsp. freudenreichii]",0.273033159916282,13,20,19,23,20,12,"b95.a1.a1","OK",0.771785674305096,0.91028495461161,"gi|659917474|emb|CDP49141.1| Oxidoreductase [Propionibacterium freudenreichii subsp. freudenreichii]",1.05769230769231
"gi|659917475|emb|CDP49142.1|",9.61200742097346,9.55307454944224,9.44139804116218,8.64904088756052,8.68806705713958,8.80064452868194,"c134.a1.a1",0.000261217964020884,0.00857784707243254,"gi|659917475|emb|CDP49142.1| L-lactate permease [Propionibacterium freudenreichii subsp. freudenreichii]",0.150079326186478,14,21,19,19,17,19,"c134.a1.a1","OK",0.923692680751906,0.928503580130822,"gi|659917475|emb|CDP49142.1| L-lactate permease [Propionibacterium freudenreichii subsp. freudenreichii]",1.01851851851852
"gi|659917477|emb|CDP49144.1|",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,6,5,5,"c399.a1.a1","OK",2.48154601893144e-06,9.57876763307537e-05,"gi|659917477|emb|CDP49144.1| Cysteinyl-tRNA synthetase (Cysteine--tRNA ligase) [Propionibacterium freudenreichii subsp. freudenreichii]",Inf
"gi|659917482|emb|CDP49149.1|",6.64210428863283,6.95795546786319,7.14881528947694,6.82360212801167,7.24636125320588,4.79521560747057,"c450.a1.a1",0.461010906041546,0.623278148028198,"gi|659917482|emb|CDP49149.1| 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (4-diphosphocytidyl-2C-methyl-D-erythritol synthase) (MEP cytidylyltransferase) (MCT) [Propionibacterium freudenreichii subsp. freudenreichii]",0.884149562257517,2,6,5,6,6,3,"c450.a1.a1","OK",0.705337390614276,0.907534109257039,"gi|659917482|emb|CDP49149.1| 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (4-diphosphocytidyl-2C-methyl-D-erythritol synthase) (MEP cytidylyltransferase) (MCT) [Propionibacterium freudenreichii subsp. freudenreichii]",1.15384615384615
"gi|659917486|emb|CDP49153.1|",7.92622349524137,8.17629635982537,8.27713064841642,7.89538442022774,8.45134220299677,6.72641409773744,"b88.a1.a1",0.448550126503117,0.613582720216528,"gi|659917486|emb|CDP49153.1| Putative phosphate transport system protein [Propionibacterium freudenreichii subsp. freudenreichii]",0.865225755087328,17,20,18,24,23,14,"b88.a1.a1","OK",0.577383728979526,0.853841547499271,"gi|659917486|emb|CDP49153.1| Putative phosphate transport system protein [Propionibacterium freudenreichii subsp. freudenreichii]",1.10909090909091
"gi|659917487|emb|CDP49154.1|",5.39180267782003,6.3162381789394,6.9739281643565,6.42037718337371,6.79741673324185,5.39180267782003,"c695.a1.a1",0.970925150404303,0.986829938068879,"gi|659917487|emb|CDP49154.1| phosphoglycerate mutase [Propionibacterium freudenreichii subsp. freudenreichii]",0.779813898950197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gi|659917488|emb|CDP49155.1|",6.99846733108893,6.7284082070766,6.955590154498,7.09199616838722,7.68849474053555,5.74028593767841,"c472.a1.a1",0.930713976542858,0.972638029540284,"gi|659917488|emb|CDP49155.1| Regulatory protein [Propionibacterium freudenreichii subsp. freudenreichii]",2.53529313938024,5,4,5,4,4,1,"c472.a1.a1","OK",0.295215242045305,0.648194086750618,"gi|659917488|emb|CDP49155.1| Regulatory protein [Propionibacterium freudenreichii subsp. freudenreichii]",0.642857142857143
"gi|659917490|emb|CDP49157.1|",5.64676969731276,6.91091442059071,7.64231390407961,5.64676969731276,7.5523532873598,7.08414128143635,"c353.a1.a1",0.974544756046941,0.986829938068879,"gi|659917490|emb|CDP49157.1| Methylmalonyl-CoA carboxytransferase, 1.3S subunit (Transcarboxylase, 1.3S subunit). 123bp [Propionibacterium freudenreichii subsp. freudenreichii]",0.919611798210638,3,8,8,2,4,4,"c353.a1.a1","OK",0.0919578677457979,0.311366113595421,"gi|659917490|emb|CDP49157.1| Methylmalonyl-CoA carboxytransferase, 1.3S subunit (Transcarboxylase, 1.3S subunit). 123bp [Propionibacterium freudenreichii subsp. freudenreichii]",0.526315789473684
"gi|659917492|emb|CDP49159.1|",9.20912297604283,8.97438179943766,8.8740343665733,8.16120932792179,7.92951031764994,8.0377957655789,"a8.a1.a1",0.00123148022789095,0.014576704738301,"gi|659917492|emb|CDP49159.1| Methylmalonyl-CoA carboxytransferase 12S subunit (Transcarboxylase 12S subunit). 610 bp [Propionibacterium freudenreichii subsp. freudenreichii]",0.102450272878409,45,46,42,36,30,33,"a8.a1.a1","OK",0.0253363409205814,0.127562968634927,"gi|659917492|emb|CDP49159.1| Methylmalonyl-CoA carboxytransferase 12S subunit (Transcarboxylase 12S subunit). 610 bp [Propionibacterium freudenreichii subsp. freudenreichii]",0.744360902255639
"gi|659917494|emb|CDP49161.1|",9.18043377013616,8.91981313236267,8.86978851756853,8.41784383386117,8.57889111903536,8.45597780479203,"b10.a1.a1",0.00938476499460162,0.0477470499725345,"gi|659917494|emb|CDP49161.1| Methylmalonyl-CoA carboxytransferase 5S subunit. (transcarboxylase 5S) 505 bp [Propionibacterium freudenreichii subsp. freudenreichii]",0.300148929819357,48,57,50,50,34,39,"b10.a1.a1","OK",0.0546861214420948,0.227793268453042,"gi|659917494|emb|CDP49161.1| Methylmalonyl-CoA carboxytransferase 5S subunit. (transcarboxylase 5S) 505 bp [Propionibacterium freudenreichii subsp. freudenreichii]",0.793548387096774
"gi|659917500|emb|CDP49167.1|",8.41055296170843,8.13201839351169,8.013814346763,7.55862183194651,7.24673418847867,7.45688322961855,"c571.a1.a1",0.00686173168520259,0.039404003736807,"gi|659917500|emb|CDP49167.1| Protoporphyrinogen oxidase (PPO) HemY [Propionibacterium freudenreichii subsp. freudenreichii]",0.166241636580767,4,4,3,4,3,3,"c571.a1.a1","OK",0.827227193567808,0.91028495461161,"gi|659917500|emb|CDP49167.1| Protoporphyrinogen oxidase (PPO) HemY [Propionibacterium freudenreichii subsp. freudenreichii]",0.909090909090909
"gi|659917501|emb|CDP49168.1|",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,3,2,2,"c518.a1.a1","OK",0.796179498219333,0.91028495461161,"gi|659917501|emb|CDP49168.1| Fe-S oxidoreductase [Propionibacterium freudenreichii subsp. freudenreichii]",0.875
"gi|659917502|emb|CDP49169.1|",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,4,2,4,"c540.a1.a1","OK",0.0158263687965402,0.0872711193637789,"gi|659917502|emb|CDP49169.1| Uroporphyrinogen decarboxylase [Propionibacterium freudenreichii subsp. freudenreichii]",5
"gi|659917503|emb|CDP49170.1|",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,2,5,3,0,"c473.a1.a1","OK",0.124619494554299,0.392145039929017,"gi|659917503|emb|CDP49170.1| Porphobilinogen deaminase (PBG) (Hydroxymethylbilane synthase) (HMBS) (Pre-uroporphyrinogen synthase) [Propionibacterium freudenreichii subsp. freudenreichii]",2.66666666666667
"gi|659917504|emb|CDP49171.1|",8.01087608095634,7.85715265783763,8.1593634979542,7.96376171079987,7.75122115896683,8.01451111448869,"c155.a1.a1",0.450291970290047,0.614516100631123,"gi|659917504|emb|CDP49171.1| Glutamyl-tRNA reductase [Propionibacterium freudenreichii subsp. freudenreichii]",0.789693745509186,13,12,16,17,13,13,"c155.a1.a1","OK",0.827251313188604,0.91028495461161,"gi|659917504|emb|CDP49171.1| Glutamyl-tRNA reductase [Propionibacterium freudenreichii subsp. freudenreichii]",1.04878048780488
"gi|659917505|emb|CDP49172.1|",7.34793019116048,7.26500415432784,7.02912904267047,8.21268473685563,6.35087856373961,6.5779771066872,"c534.a1.a1",0.792785844352023,0.877859455820725,"gi|659917505|emb|CDP49172.1| Asparagine synthase (Glutamine-hydrolyzing) [Propionibacterium freudenreichii subsp. freudenreichii]",3.2932326971985,3,4,4,2,3,3,"c534.a1.a1","OK",0.490389144289589,0.8096383574581,"gi|659917505|emb|CDP49172.1| Asparagine synthase (Glutamine-hydrolyzing) [Propionibacterium freudenreichii subsp. freudenreichii]",0.727272727272727
"gi|659917508|emb|CDP49175.1|",7.62539932862774,7.75024234293119,7.62532640397244,7.4534340492246,7.78028817606521,6.67003968501934,"c151.a1.a1",0.332497069373674,0.510180688456961,"gi|659917508|emb|CDP49175.1| IolE (Myo-inositol catabolism IolAEprotein) (Inosose dehydratase) (2-keto-myo-inositol dehydratase) [Propionibacterium freudenreichii subsp. freudenreichii]",0.663807280932302,2,2,2,19,17,15,"c151.a1.a1","OK",1.81318959174602e-10,1.74972795603491e-08,"gi|659917508|emb|CDP49175.1| IolE (Myo-inositol catabolism IolAEprotein) (Inosose dehydratase) (2-keto-myo-inositol dehydratase) [Propionibacterium freudenreichii subsp. freudenreichii]",8.5
"gi|659917511|emb|CDP49178.1|",7.48343141965074,7.76097057013012,7.97249019627517,8.25325460874,8.4635424215737,8.31951508230773,"b86.a1.a1",0.0172116216910787,0.068846486764315,"gi|659917511|emb|CDP49178.1| Transaldolase 2 [Propionibacterium freudenreichii subsp. freudenreichii]",3.72925603262672,12,16,17,26,19,17,"b86.a1.a1","OK",0.0995702214136298,0.333243689008622,"gi|659917511|emb|CDP49178.1| Transaldolase 2 [Propionibacterium freudenreichii subsp. freudenreichii]",1.37777777777778
"gi|659917512|emb|CDP49179.1|",6.70372791463315,7.03120467270248,7.15834757040491,7.10553385260447,7.99787631039578,5.77488362569477,"c306.a1.a1",0.994322647764402,0.995367218116287,"gi|659917512|emb|CDP49179.1| GntR-family protein transcriptional regulator [Propionibacterium freudenreichii subsp. freudenreichii]",3.73708973876904,3,8,8,9,10,8,"c306.a1.a1","OK",0.236990957939159,0.574132906471855,"gi|659917512|emb|CDP49179.1| GntR-family protein transcriptional regulator [Propionibacterium freudenreichii subsp. freudenreichii]",1.42105263157895
"gi|659917513|emb|CDP49180.1|",7.12476693133847,6.33481439278215,6.55068730090641,7.2907509382402,7.0983732807268,7.23896964796472,"c172.a1.a1",0.0903487537841341,0.232230001133926,"gi|659917513|emb|CDP49180.1| iolC (Myo-inositol catabolism iolC protein) [Propionibacterium freudenreichii subsp. freudenreichii]",2.59463470743992,3,6,8,16,13,10,"c172.a1.a1","OK",0.00288286758874684,0.0231830601928392,"gi|659917513|emb|CDP49180.1| iolC (Myo-inositol catabolism iolC protein) [Propionibacterium freudenreichii subsp. freudenreichii]",2.29411764705882
"gi|659917516|emb|CDP49183.1|",7.49640343573409,7.69004682762392,7.40014680365461,7.729909723189,7.60830077978208,7.66588227066144,"c257.a1.a1",0.20569932082853,0.381168070544879,"gi|659917516|emb|CDP49183.1| iolD (Myo-inositol catabolism iolD protein) (acetolactate synthase protein) (pyruvate:pyruvate acetaldehydetransferase (decarboxylating)) [Propionibacterium freudenreichii subsp. freudenreichii]",1.33307828504934,5,6,5,9,9,10,"c257.a1.a1","OK",0.0686688766037397,0.259970466330195,"gi|659917516|emb|CDP49183.1| iolD (Myo-inositol catabolism iolD protein) (acetolactate synthase protein) (pyruvate:pyruvate acetaldehydetransferase (decarboxylating)) [Propionibacterium freudenreichii subsp. freudenreichii]",1.75
"gi|659917517|emb|CDP49184.1|",6.89087978166353,6.44117011350073,6.31324951154259,6.66013714272386,5.92566947508014,6.51407209689881,"c397.a1.a1",0.557856146231809,0.695820569493439,"gi|659917517|emb|CDP49184.1| iolA (Myo-inositol catabolism IolA protein) (Methylmalonic acid semialdehyde dehydrogenase) [Propionibacterium freudenreichii subsp. freudenreichii]",0.689170287986365,3,5,2,6,5,6,"c397.a1.a1","OK",0.175454295794912,0.481758148752447,"gi|659917517|emb|CDP49184.1| iolA (Myo-inositol catabolism IolA protein) (Methylmalonic acid semialdehyde dehydrogenase) [Propionibacterium freudenreichii subsp. freudenreichii]",1.7
"gi|659917518|emb|CDP49185.1|",8.15958463721945,8.24186945956608,8.14669374945988,7.61615510097915,7.74088048807284,7.74406684471708,"c380.a1.a1",0.000729173893354559,0.0120017863255969,"gi|659917518|emb|CDP49185.1| iolT3 (myo-inositol transporter iolT3) [Propionibacterium freudenreichii subsp. freudenreichii]",0.330756399736986,6,8,8,8,6,6,"c380.a1.a1","OK",0.757576322542554,0.91028495461161,"gi|659917518|emb|CDP49185.1| iolT3 (myo-inositol transporter iolT3) [Propionibacterium freudenreichii subsp. freudenreichii]",0.909090909090909
"gi|659917520|emb|CDP49187.1|",7.76503365242105,7.61472865007152,7.47299090058308,7.76177365127545,7.67202897912151,7.73117658820323,"c243.a1.a1",0.304032220030273,0.479336392132229,"gi|659917520|emb|CDP49187.1| Zinc-containing alcohol dehydrogenase superfamily [Propionibacterium freudenreichii subsp. freudenreichii]",1.22852529553,5,5,5,14,11,10,"c243.a1.a1","OK",0.00412424198335296,0.0310121572514463,"gi|659917520|emb|CDP49187.1| Zinc-containing alcohol dehydrogenase superfamily [Propionibacterium freudenreichii subsp. freudenreichii]",2.33333333333333
"gi|659917524|emb|CDP49191.1|",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,3,3,1,"c528.a1.a1","OK",0.362666387270395,0.716668389861974,"gi|659917524|emb|CDP49191.1| TRNA/rRNA methyltransferase [Propionibacterium freudenreichii subsp. freudenreichii]",1.75
"gi|659917525|emb|CDP49192.1|",7.55340242584497,7.86571454434412,8.25992490893715,7.72972895114054,7.60722978734843,6.7044265819339,"c577.a1.a1",0.226698298687968,0.402094841709546,"gi|659917525|emb|CDP49192.1| Conserved membrane protein (DedA family) [Propionibacterium freudenreichii subsp. freudenreichii]",0.340814694891171,2,2,2,3,3,3,"c577.a1.a1","OK",0.437031079898384,0.759882868652146,"gi|659917525|emb|CDP49192.1| Conserved membrane protein (DedA family) [Propionibacterium freudenreichii subsp. freudenreichii]",1.5
"gi|659917526|emb|CDP49193.1|",7.86917852581995,7.56182477794093,7.92099315946676,7.36942400339167,7.54354989433618,7.13917887990102,"c235.a1.a1",0.055640633540915,0.162320261602933,"gi|659917526|emb|CDP49193.1| transmembrane protein [Propionibacterium freudenreichii subsp. freudenreichii]",0.37224146088903,10,11,11,11,7,8,"c235.a1.a1","OK",0.430378632337092,0.759882868652146,"gi|659917526|emb|CDP49193.1| transmembrane protein [Propionibacterium freudenreichii subsp. freudenreichii]",0.8125
"gi|659917528|emb|CDP49195.1|",7.22717218460833,7.52185307550911,7.73456434616254,6.60125448253624,7.50380118799413,6.40024658733715,"c548.a1.a1",0.149177975867319,0.31709654865364,"gi|659917528|emb|CDP49195.1| Sortase family protein [Propionibacterium freudenreichii subsp. freudenreichii]",0.367888861305184,3,4,4,4,3,3,"c548.a1.a1","OK",0.827227193567809,0.91028495461161,"gi|659917528|emb|CDP49195.1| Sortase family protein [Propionibacterium freudenreichii subsp. freudenreichii]",0.909090909090909
"gi|659917531|emb|CDP49198.1|",7.94371046648703,7.92440774007497,7.76952227745464,6.7619378425616,6.74365110132652,6.8454608349591,"c617.a1.a1",6.58717915475792e-05,0.00483728899470646,"gi|659917531|emb|CDP49198.1| Oligopeptide transporter, OPT family protein [Propionibacterium freudenreichii subsp. freudenreichii]",0.0794483230779566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gi|659917538|emb|CDP49118.1|",6.90848805108424,7.05647885647251,6.92863556754022,7.34175961114171,7.14006636426916,7.23623183768869,"c508.a1.a1",0.0209756970487129,0.0784897050855062,"gi|659917538|emb|CDP49118.1| secreted serine protease, trypsin-like serine proteases [Propionibacterium freudenreichii subsp. freudenreichii]",1.89465571189574,3,4,3,4,4,4,"c508.a1.a1","OK",0.669600785514451,0.887182734125555,"gi|659917538|emb|CDP49118.1| secreted serine protease, trypsin-like serine proteases [Propionibacterium freudenreichii subsp. freudenreichii]",1.2
